"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\address\address.dart", "Dart", 0, 1, 0, 0, 1
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\address\address.new.dart", "Dart", 0, 5, 0, 0, 5
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\setting\setting.dart", "Dart", 0, 2, 0, 0, 2
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\cart_screen.dart", "Dart", 0, -22, 0, -2, -24
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\widgets\coupon_widget.dart", "Dart", 0, 51, 0, 3, 54
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\widgets\x_cartitem.dart", "Dart", 0, 6, 1, 0, 7
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\checkout\check_out.dart", "Dart", 0, 73, 4, 4, 81
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\checkout\widgets\billing_address_section.dart", "Dart", 0, 44, 0, 3, 47
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\checkout\widgets\billing_amount_section.dart", "Dart", 0, 35, 0, 3, 38
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\checkout\widgets\billing_payment_section.dart", "Dart", 0, 42, 0, 3, 45
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\order\order.dart", "Dart", 0, 22, 0, 3, 25
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\order\widgets\s.order.list.dart", "Dart", 0, 52, 0, 3, 55
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_detail\product_detail.dart", "Dart", 0, -1, 0, 0, -1
"d:\Profesional Flutter project Structure\s_store\lib\utils\constants\image_string.dart", "Dart", 0, 4, 1, 0, 5
"d:\Profesional Flutter project Structure\s_store\pubspec.yaml", "YAML", 1, 0, 0, 0, 1
"Total", "-", 1, 314, 6, 20, 341
