"filename", "language", "C++", "CMake", "Dart", "JSON", "YAML", "Markdown", "Swift", "XML", "Properties", "HTML", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\README.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 7, 22
"d:\Profesional Flutter project Structure\s_store\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Profesional Flutter project Structure\s_store\android\app\google-services.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"d:\Profesional Flutter project Structure\s_store\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\Profesional Flutter project Structure\s_store\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 11, 1, 46
"d:\Profesional Flutter project Structure\s_store\android\app\src\main\res\drawable-night-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\Profesional Flutter project Structure\s_store\android\app\src\main\res\drawable-night\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\Profesional Flutter project Structure\s_store\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\Profesional Flutter project Structure\s_store\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\Profesional Flutter project Structure\s_store\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 7, 1, 22
"d:\Profesional Flutter project Structure\s_store\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 9, 1, 23
"d:\Profesional Flutter project Structure\s_store\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 7, 1, 22
"d:\Profesional Flutter project Structure\s_store\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 9, 1, 23
"d:\Profesional Flutter project Structure\s_store\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\Profesional Flutter project Structure\s_store\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Profesional Flutter project Structure\s_store\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Profesional Flutter project Structure\s_store\assets\Animation\email sent.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Profesional Flutter project Structure\s_store\assets\lotties\docer.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Profesional Flutter project Structure\s_store\assets\lotties\succesReg.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Profesional Flutter project Structure\s_store\firebase.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Profesional Flutter project Structure\s_store\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"d:\Profesional Flutter project Structure\s_store\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\Profesional Flutter project Structure\s_store\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Profesional Flutter project Structure\s_store\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Profesional Flutter project Structure\s_store\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 57
"d:\Profesional Flutter project Structure\s_store\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"d:\Profesional Flutter project Structure\s_store\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 1, 45
"d:\Profesional Flutter project Structure\s_store\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\Profesional Flutter project Structure\s_store\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Profesional Flutter project Structure\s_store\lib\app.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\Profesional Flutter project Structure\s_store\lib\bindings\general_binding.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Profesional Flutter project Structure\s_store\lib\common\Icon\s_circuler_icon.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\Profesional Flutter project Structure\s_store\lib\common\images\s.circuler.image.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"d:\Profesional Flutter project Structure\s_store\lib\common\images\s_round_image.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"d:\Profesional Flutter project Structure\s_store\lib\common\layout\S_grid.layout.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
