"filename", "language", "YAML", "Dart", "Swift", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\common\widget_sigin_up_login\form_divider.dart", "Dart", 0, -3, 0, 0, -1, -4
"d:\Profesional Flutter project Structure\s_store\lib\common\widget_sigin_up_login\social_button.dart", "Dart", 0, -1, 0, 0, 1, 0
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\list_tile\user_profile.dart", "Dart", 0, 2, 0, 0, 0, 2
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\shimmer\shimmer.dart", "Dart", 0, 31, 0, 0, 3, 34
"d:\Profesional Flutter project Structure\s_store\lib\data\repository\repository.authentication\authentication_repository.dart", "Dart", 0, 56, 0, 4, 5, 65
"d:\Profesional Flutter project Structure\s_store\lib\data\repository\user\user_repository.dart", "Dart", 0, 63, 0, 21, 6, 90
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\authentication\controllers.onboarding\signUp\verify.email.controller.dart", "Dart", 0, 1, 0, -1, 0, 0
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\authentication\controllers\Forget\forget_controller.dart", "Dart", 0, 63, 0, 3, 3, 69
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\authentication\controllers\login\login_controller.dart", "Dart", 0, 67, 0, 7, 5, 79
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\controller\update_name_controller.dart", "Dart", 0, 62, 0, 3, 5, 70
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\controller\user_controller.dart", "Dart", 0, 60, 0, 13, 10, 83
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\models\user_model.dart", "Dart", 0, 4, 0, 0, 0, 4
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\profile\profile.dart", "Dart", 0, 6, 0, 0, 0, 6
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\profile\widgets\change_name.dart", "Dart", 0, 67, 0, 0, 5, 72
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\profile\widgets\re_authenticate_user_login_form.dart", "Dart", 0, 66, 0, 1, 3, 70
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\setting\setting.dart", "Dart", 0, 2, 0, 0, 1, 3
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\home\widget\home_appbar.dart", "Dart", 0, 9, 0, 0, 0, 9
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\login\login_screen.dart", "Dart", 0, -1, 0, 0, 0, -1
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\login\widgets\login_form.dart", "Dart", 0, 26, 0, 0, 2, 28
"d:\Profesional Flutter project Structure\s_store\lib\screens\password_configuration\forget_password.dart", "Dart", 0, 5, 0, 0, 0, 5
"d:\Profesional Flutter project Structure\s_store\lib\screens\password_configuration\reset_password.dart", "Dart", 0, 3, 0, 0, -1, 2
"d:\Profesional Flutter project Structure\s_store\lib\screens\sign_up.widgets\sign_up.dart", "Dart", 0, -3, 0, 0, 0, -3
"d:\Profesional Flutter project Structure\s_store\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 2, 0, 0, 2
"d:\Profesional Flutter project Structure\s_store\pubspec.yaml", "YAML", 2, 0, 0, 0, 0, 2
"Total", "-", 2, 585, 2, 51, 47, 687
