"filename", "language", "CMake", "C++", "YAML", "Dart", "Swift", "HTML", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\android\build\reports\problems\problems-report.html", "HTML", 0, 0, 0, 0, 0, 548, 2, 114, 664
"d:\Profesional Flutter project Structure\s_store\lib\common\images\s.circuler.image.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 9
"d:\Profesional Flutter project Structure\s_store\lib\common\widgets\list_tile\user_profile.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\Profesional Flutter project Structure\s_store\lib\data\categories\categories_repository.dart", "Dart", 0, 0, 0, 28, 0, 0, 1, 2, 31
"d:\Profesional Flutter project Structure\s_store\lib\data\repository\repository.authentication\authentication_repository.dart", "Dart", 0, 0, 0, 39, 0, 0, 2, 2, 43
"d:\Profesional Flutter project Structure\s_store\lib\data\repository\user\user_repository.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 2, 25
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\controller\user_controller.dart", "Dart", 0, 0, 0, 113, 0, 0, -5, 4, 112
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\profile\profile.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 20
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\profile\widgets\re_authenticate_user_login_form.dart", "Dart", 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\personalization\screens\setting\setting.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 10
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\controller\category_controller.dart", "Dart", 0, 0, 0, 28, 0, 0, 1, 3, 32
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\models\categories_model.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 4, 52
"d:\Profesional Flutter project Structure\s_store\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\Profesional Flutter project Structure\s_store\linux\flutter\generated_plugins.cmake", "CMake", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Profesional Flutter project Structure\s_store\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\Profesional Flutter project Structure\s_store\pubspec.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Profesional Flutter project Structure\s_store\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Profesional Flutter project Structure\s_store\windows\flutter\generated_plugins.cmake", "CMake", 2, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 3, 10, 3, 322, 6, 548, 1, 132, 1025
